08-18-2021 04:16,11,84.78,"[[13, 41, 83], [86, 12, 72], [8, 41, 36], [23, 77, 68], [48, 95, 38], [27, 42, 1], [89, 49, 73], [4, 29, 57], [4, 55, 66], [44, 57, 50], [14, 74, 87]]"
08-19-2020 09:10,17,50.2,"[[55, 48, 56], [30, 100, 77], [6, 73, 57], [71, 49, 60], [81, 7, 77], [98, 46, 23], [53, 5, 22], [44, 21, 91], [34, 25, 62], [81, 44, 56], [20, 46, 47], [17, 17, 84], [35, 24, 75], [22, 34, 42], [72, 69, 78], [45, 39, 87], [23, 91, 56]]"
07-03-2021 03:21,21,83.57,"[[41, 29, 94], [85, 25, 4], [82, 33, 60], [95, 88, 82], [41, 29, 63], [65, 19, 69], [24, 22, 29], [80, 37, 81], [29, 65, 87], [53, 64, 42], [24, 96, 19], [29, 6, 68], [27, 67, 19], [43, 9, 82], [86, 95, 68], [93, 73, 24], [11, 86, 56], [80, 38, 23], [98, 16, 10], [34, 55, 49], [41, 23, 4]]"
12-02-2021 08:48,13,72.02,"[[22, 58, 47], [57, 84, 64], [30, 95, 21], [16, 38, 54], [79, 84, 24], [15, 39, 75], [87, 28, 55], [75, 85, 41], [51, 61, 13], [53, 41, 5], [67, 80, 11], [12, 59, 32], [11, 2, 21]]"
11-27-2021 13:46,30,65.82,"[[47, 79, 3], [24, 62, 48], [1, 5, 72], [52, 93, 42], [36, 53, 3], [74, 11, 32], [21, 16, 13], [85, 69, 51], [75, 32, 100], [12, 62, 3], [52, 40, 8], [2, 98, 99], [29, 31, 63], [86, 60, 51], [34, 40, 95], [81, 17, 24], [66, 78, 72], [98, 37, 15], [55, 50, 25], [89, 59, 94], [55, 16, 59], [59, 49, 67], [95, 29, 21], [32, 75, 31], [8, 12, 58], [93, 29, 36], [19, 100, 39], [97, 31, 75], [63, 35, 23], [95, 17, 42]]"
04-03-2020 20:37,10,69.16,"[[49, 65, 46], [71, 96, 26], [63, 35, 23], [56, 56, 52], [19, 66, 96], [51, 11, 2], [31, 100, 8], [8, 85, 23], [64, 82, 6], [80, 63, 74]]"
06-23-2021 13:57,11,68.6,"[[26, 60, 29], [3, 18, 35], [10, 64, 74], [38, 8, 48], [12, 82, 87], [71, 85, 54], [56, 19, 16], [60, 40, 32], [84, 79, 41], [99, 58, 66], [32, 64, 82]]"
09-18-2021 05:24,26,51.5,"[[56, 33, 33], [46, 20, 48], [89, 26, 57], [43, 91, 49], [2, 8, 17], [38, 8, 19], [58, 56, 25], [50, 49, 67], [67, 100, 23], [61, 51, 13], [31, 59, 44], [28, 94, 19], [75, 87, 25], [22, 37, 37], [17, 27, 87], [56, 33, 27], [63, 72, 5], [75, 89, 12], [95, 17, 39], [6, 92, 50], [17, 24, 60], [25, 89, 58], [91, 29, 87], [19, 44, 20], [76, 44, 70], [38, 61, 59]]"
06-04-2020 21:46,25,53.92,"[[1, 8, 73], [3, 72, 67], [26, 57, 46], [57, 56, 1], [68, 95, 2], [15, 1, 94], [4, 84, 27], [46, 43, 9], [58, 74, 35], [100, 84, 64], [21, 96, 73], [93, 87, 52], [41, 7, 57], [59, 95, 3], [38, 28, 3], [91, 19, 53], [42, 98, 9], [33, 8, 70], [21, 41, 1], [37, 15, 24], [28, 65, 13], [44, 3, 32], [6, 74, 62], [21, 28, 53], [19, 63, 41]]"
03-08-2021 17:20,23,53.7,"[[31, 94, 58], [42, 100, 99], [65, 6, 51], [92, 34, 49], [26, 52, 61], [33, 52, 4], [42, 25, 90], [36, 90, 9], [84, 10, 89], [81, 32, 25], [51, 50, 54], [66, 49, 39], [64, 7, 58], [99, 68, 87], [83, 73, 78], [39, 88, 2], [8, 66, 27], [59, 19, 49], [52, 91, 71], [82, 50, 79], [26, 96, 54], [98, 53, 7], [50, 43, 8]]"
08-24-2019 05:54,30,76.41,"[[62, 9, 3], [75, 34, 56], [29, 75, 11], [77, 42, 32], [78, 9, 59], [74, 87, 36], [6, 61, 14], [8, 57, 41], [81, 65, 81], [19, 22, 85], [35, 26, 47], [92, 19, 59], [18, 67, 94], [54, 36, 83], [58, 10, 69], [67, 21, 100], [50, 98, 13], [53, 12, 89], [9, 37, 49], [60, 96, 73], [28, 6, 98], [99, 72, 81], [91, 68, 17], [100, 51, 20], [71, 73, 43], [90, 24, 59], [65, 84, 80], [17, 76, 17], [50, 38, 58], [37, 51, 11]]"
06-29-2020 00:59,14,54.7,"[[15, 46, 12], [83, 100, 82], [24, 58, 40], [92, 24, 83], [99, 67, 64], [10, 6, 16], [72, 14, 40], [18, 33, 76], [5, 34, 45], [19, 11, 87], [56, 63, 3], [90, 13, 29], [67, 67, 98], [84, 24, 26]]"
09-23-2020 22:54,30,77.11,"[[17, 15, 71], [74, 84, 80], [98, 18, 53], [9, 42, 24], [95, 88, 44], [76, 76, 1], [9, 35, 49], [14, 64, 41], [54, 56, 15], [35, 58, 10], [92, 28, 93], [38, 64, 7], [1, 52, 6], [12, 87, 7], [32, 59, 18], [63, 7, 85], [73, 82, 25], [47, 26, 25], [61, 67, 83], [7, 27, 21], [67, 44, 20], [6, 90, 18], [9, 28, 13], [3, 30, 30], [64, 43, 6], [92, 70, 39], [15, 45, 53], [11, 2, 75], [39, 66, 69], [92, 22, 80]]"
02-03-2020 06:04,16,50.49,"[[28, 57, 28], [31, 80, 3], [41, 93, 45], [19, 79, 3], [76, 84, 50], [25, 21, 69], [68, 92, 68], [6, 48, 21], [40, 28, 7], [55, 27, 24], [59, 9, 53], [1, 44, 4], [64, 92, 22], [84, 49, 98], [11, 64, 18], [23, 86, 77]]"
